,Selected_features
0,Histogram_Bins-16_Bins-16_NinetiethPercentile
1,Histogram_Bins-16_Bins-16_Entropy
2,NGTDM_Complexity
3,Intensity_Mean
4,Histogram_Bins-16_Bins-16_Bin-10_Probability
5,Histogram_Bins-16_Bins-16_InterQuartileRange
6,Histogram_Bins-16_Bins-16_Bin-9_Probability
7,GLCM_Bins-16_Radius-1_AutoCorrelation
8,Histogram_Bins-16_Bins-16_Bin-11_Probability
9,Histogram_Bins-16_Bins-16_Bin-4_Frequency
10,Histogram_Bins-16_Bins-16_Mean
11,Histogram_Bins-16_Bins-16_TwentyFifthPercentile
12,Intensity_Skewness
13,Histogram_Bins-16_Bins-16_Mode
14,Histogram_Bins-16_Bins-16_Bin-7_Probability
15,GLCM_Bins-16_Radius-1_Homogeneity
16,Histogram_Bins-16_Bins-16_Bin-3_Probability
17,GLCM_Bins-16_Radius-1_Contrast
18,Intensity_Mode
19,Intensity_Range
20,NGTDM_Contrast
21,GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity
22,Intensity_Kurtosis
23,GLCM_Bins-16_Radius-1_Correlation
24,GLSZM_Bins-16_Radius-1_ZoneSizeMean
25,Morphologic_EllipseDiameter_Axis-0
26,Histogram_Bins-16_Bins-16_Bin-8_Probability
27,Histogram_Bins-16_Bins-16_Bin-2_Probability
28,Histogram_Bins-16_Bins-16_Bin-12_Probability
29,Histogram_Bins-16_Bins-16_Bin-5_Frequency
30,Histogram_Bins-16_Bins-16_TenthPercentile
31,Histogram_Bins-16_Bins-16_CoefficientOfVariation
32,Histogram_Bins-16_Bins-16_Bin-4_Probability
33,GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis
34,Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation
35,GLSZM_Bins-16_Radius-1_SmallZoneEmphasis
36,Intensity_MedianAbsoluteDeviation
37,GLSZM_Bins-16_Radius-1_SmallZoneHighGreyLevelEmphasis
38,Histogram_Bins-16_Bins-16_Bin-5_Probability
39,Histogram_Bins-16_Bins-16_Bin-1_Probability
40,Histogram_Bins-16_Bins-16_Bin-6_Probability
41,GLCM_Bins-16_Radius-1_ClusterShade
42,GLSZM_Bins-16_Radius-1_GreyLevelMean
43,GLSZM_Bins-16_Radius-1_SmallZoneLowGreyLevelEmphasis
44,Intensity_QuartileCoefficientOfVariation
45,Histogram_Bins-16_Bins-16_Bin-2_Frequency
46,Histogram_Bins-16_Bins-16_Bin-14_Frequency
47,Intensity_Minimum
48,NGTDM_Coarsness
49,Intensity_TenthPercentile
