,Selected_features
0,Morphologic_Flatness
1,Morphologic_Roundness
2,GLSZM_Bins-16_Radius-1_ZoneSizeEntropy
3,Morphologic_Elongation
4,GLRLM_Bins-16_Radius-1_ShortRunEmphasis
5,Histogram_Bins-16_Bins-16_Bin-4_Frequency
6,Histogram_Bins-16_Bins-16_Bin-0_Probability
7,GLSZM_Bins-16_Radius-1_GreyLevelVariance
8,Intensity_CoefficientOfVariation
9,Histogram_Bins-16_Bins-16_Bin-3_Probability
10,Histogram_Bins-16_Bins-16_Bin-1_Frequency
11,Histogram_Bins-16_Bins-16_Bin-1_Probability
12,GLRLM_Bins-16_Radius-1_LongRunEmphasis
13,Morphologic_EllipseDiameter_Axis-0
14,GLSZM_Bins-16_Radius-1_ZonePercentage
15,NGTDM_Coarsness
16,Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation
17,Histogram_Bins-16_Bins-16_Bin-10_Frequency
18,GLSZM_Bins-16_Radius-1_GreyLevelMean
19,Intensity_Mean
20,Intensity_QuartileCoefficientOfVariation
21,Histogram_Bins-16_Bins-16_TenthPercentile
22,GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity
23,Histogram_Bins-16_Bins-16_Mode
24,Histogram_Bins-16_Bins-16_InterQuartileRange
25,Intensity_Energy
26,Histogram_Bins-16_Bins-16_Bin-0_Frequency
27,Histogram_Bins-16_Bins-16_Bin-2_Probability
28,Intensity_Mode
29,Intensity_Kurtosis
30,Morphologic_Eccentricity
31,GLCM_Bins-16_Radius-1_Contrast
32,GLSZM_Bins-16_Radius-1_GreyLevelNonUniformityNormalized
33,GLSZM_Bins-16_Radius-1_SmallZoneEmphasis
34,GLSZM_Bins-16_Radius-1_ZoneSizeMean
35,Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation
36,Histogram_Bins-16_Bins-16_Bin-15_Probability
37,Histogram_Bins-16_Bins-16_Bin-2_Frequency
38,Intensity_InterQuartileRange
39,Intensity_MedianAbsoluteDeviation
40,Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation
41,GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis
42,Histogram_Bins-16_Bins-16_Bin-10_Probability
43,Intensity_MeanAbsoluteDeviation
44,GLSZM_Bins-16_Radius-1_LargeZoneEmphasis
45,Morphologic_EllipseDiameter_Axis-1
46,Morphologic_EllipseDiameter_Axis-2
47,GLCM_Bins-16_Radius-1_ClusterProminence
48,Volumetric_Pixels
49,Intensity_Sum
50,Intensity_Minimum
51,GLSZM_Bins-16_Radius-1_LargeZoneHighGreyLevelEmphasis
52,Intensity_Maximum
