,Summed_Shapy_Values
DTI_AD_ET_Morphologic_Flatness,1612.9110594443773
DTI_AD_ET_Morphologic_Eccentricity,1595.9640028858175
DTI_AD_ET_Histogram_Bins-16_Bins-16_Entropy,1152.1287753868194
DTI_AD_ET_Intensity_Kurtosis,1028.6004777982787
DTI_AD_ET_Histogram_Bins-16_Bins-16_InterQuartileRange,1008.7586548887978
DTI_AD_ET_Intensity_Mean,892.668880792451
DTI_AD_ET_Intensity_InterQuartileRange,853.3618463934598
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-6_Probability,848.7033000908399
DTI_AD_ET_Intensity_Minimum,823.4761213149667
DTI_AD_ET_Morphologic_EllipseDiameter_Axis-2,745.7569040264884
DTI_AD_ET_GLSZM_Bins-16_Radius-1_SmallZoneLowGreyLevelEmphasis,703.7955724145584
DTI_AD_ET_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformityNormalized,664.6071299324223
DTI_AD_ET_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,664.1475207392575
DTI_AD_ET_Intensity_Skewness,663.71459833134
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-1_Probability,634.8751800093141
DTI_AD_ET_Intensity_Mode,597.1910570062466
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-5_Probability,590.4377145330619
DTI_AD_ET_Histogram_Bins-16_Bins-16_NinetiethPercentile,569.7065260680233
DTI_AD_ET_Morphologic_Elongation,535.9046331769312
DTI_AD_ET_Intensity_TenthPercentile,530.1527595895752
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-10_Probability,524.6572905083443
DTI_AD_ET_GLCM_Bins-16_Radius-1_Contrast,511.65354764532935
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-0_Probability,500.6416704986407
DTI_AD_ET_Histogram_Bins-16_Bins-16_Mode,487.82954873641836
DTI_AD_ET_GLSZM_Bins-16_Radius-1_LargeZoneEmphasis,461.8088741641448
DTI_AD_ET_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,436.3818160448315
DTI_AD_ET_GLSZM_Bins-16_Radius-1_LargeZoneLowGreyLevelEmphasis,429.2588740801582
DTI_AD_ET_GLCM_Bins-16_Radius-1_AutoCorrelation,422.80247902276847
DTI_AD_ET_GLCM_Bins-16_Radius-1_ClusterShade,420.8567733679389
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-9_Probability,419.148365250479
DTI_AD_ET_Intensity_Maximum,418.53661969574085
DTI_AD_ET_Morphologic_EllipseDiameter_Axis-0,414.6208446000067
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-3_Frequency,410.877022929783
DTI_AD_ET_Morphologic_Perimeter,400.18973140656135
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-13_Probability,387.05244930858214
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-4_Frequency,386.87953319871247
DTI_AD_ET_GLSZM_Bins-16_Radius-1_SmallZoneHighGreyLevelEmphasis,385.6314624956003
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-4_Probability,384.1379711545873
DTI_AD_ET_Histogram_Bins-16_Bins-16_Bin-2_Probability,377.5972632713971
