,Summed_Shapy_Values
DSC_ap-rCBV_ED_Morphologic_Flatness,1531.1800235008527
DSC_ap-rCBV_ED_Morphologic_Roundness,1477.8664888398448
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,1327.4246500208376
DSC_ap-rCBV_ED_Morphologic_Elongation,1212.6035708993768
DSC_ap-rCBV_ED_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,1045.9382183987732
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-4_Frequency,987.9396274312604
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-0_Probability,767.6103395712585
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_GreyLevelVariance,759.5830621318405
DSC_ap-rCBV_ED_Intensity_CoefficientOfVariation,754.9412990876878
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-3_Probability,753.1320709050447
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-1_Frequency,752.8901357373206
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-1_Probability,750.224698668947
DSC_ap-rCBV_ED_GLRLM_Bins-16_Radius-1_LongRunEmphasis,733.6446777643528
DSC_ap-rCBV_ED_Morphologic_EllipseDiameter_Axis-0,721.9435258015294
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_ZonePercentage,706.406095778243
DSC_ap-rCBV_ED_NGTDM_Coarsness,705.210031168031
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,669.7762735482894
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-10_Frequency,668.9113082739965
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_GreyLevelMean,662.2718631457166
DSC_ap-rCBV_ED_Intensity_Mean,648.4554969892896
DSC_ap-rCBV_ED_Intensity_QuartileCoefficientOfVariation,623.6872035638933
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_TenthPercentile,618.3515845852958
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,612.1237334255151
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Mode,597.608056966773
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_InterQuartileRange,574.7073530832322
DSC_ap-rCBV_ED_Intensity_Energy,574.382775803701
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-0_Frequency,554.5890356879282
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-2_Probability,551.8306825498186
DSC_ap-rCBV_ED_Intensity_Mode,542.5274671402992
DSC_ap-rCBV_ED_Intensity_Kurtosis,531.9541869308023
DSC_ap-rCBV_ED_Morphologic_Eccentricity,518.8727330621441
DSC_ap-rCBV_ED_GLCM_Bins-16_Radius-1_Contrast,516.8633548919971
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformityNormalized,513.0151205781227
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,510.16888732158634
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_ZoneSizeMean,502.25091876893725
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,467.40693611595435
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-15_Probability,463.42153095579937
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-2_Frequency,459.4553090492442
DSC_ap-rCBV_ED_Intensity_InterQuartileRange,456.11862981770605
DSC_ap-rCBV_ED_Intensity_MedianAbsoluteDeviation,446.4220149224256
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,438.3584731154293
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis,437.3951622244295
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Bin-10_Probability,431.5838567749423
DSC_ap-rCBV_ED_Intensity_MeanAbsoluteDeviation,407.574445205405
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_LargeZoneEmphasis,406.9702615962912
DSC_ap-rCBV_ED_Morphologic_EllipseDiameter_Axis-1,375.79591070968894
DSC_ap-rCBV_ED_Morphologic_EllipseDiameter_Axis-2,347.596369063289
DSC_ap-rCBV_ED_GLCM_Bins-16_Radius-1_ClusterProminence,321.1567660263322
DSC_ap-rCBV_ED_Volumetric_Pixels,310.5298827456209
DSC_ap-rCBV_ED_Intensity_Sum,250.3542962684267
DSC_ap-rCBV_ED_Intensity_Minimum,243.23182129748318
DSC_ap-rCBV_ED_GLSZM_Bins-16_Radius-1_LargeZoneHighGreyLevelEmphasis,232.81118169121152
DSC_ap-rCBV_ED_Intensity_Maximum,220.617657469085
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Maximum,0.0
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Minimum,0.0
DSC_ap-rCBV_ED_Morphologic_PixelsOnBorder,0.0
DSC_ap-rCBV_ED_Morphologic_PerimeterOnBorder,0.0
DSC_ap-rCBV_ED_Morphologic_PerimeterOnBorderRatio,0.0
DSC_ap-rCBV_ED_Morphologic_OrientedBoundingBoxSize_Axis-0,0.0
DSC_ap-rCBV_ED_Morphologic_OrientedBoundingBoxSize_Axis-1,0.0
DSC_ap-rCBV_ED_Histogram_Bins-16_Bins-16_Range,0.0
DSC_ap-rCBV_ED_Morphologic_OrientedBoundingBoxSize_Axis-2,0.0
