,Summed_Shapy_Values
DTI_AD_NC_Histogram_Bins-16_Bins-16_NinetiethPercentile,519.6631753629333
DTI_AD_NC_Histogram_Bins-16_Bins-16_Entropy,518.207934968649
DTI_AD_NC_NGTDM_Complexity,471.5533854249955
DTI_AD_NC_Intensity_Mean,436.9473375450828
DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-10_Probability,436.7862791261995
DTI_AD_NC_Histogram_Bins-16_Bins-16_InterQuartileRange,436.3055859880078
DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-9_Probability,428.21555275973077
DTI_AD_NC_GLCM_Bins-16_Radius-1_AutoCorrelation,422.8902620142298
DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-11_Probability,402.80748937109996
DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-4_Frequency,402.43048640187243
DTI_AD_NC_Histogram_Bins-16_Bins-16_Mean,401.6365003071791
DTI_AD_NC_Histogram_Bins-16_Bins-16_TwentyFifthPercentile,397.0423507957028
DTI_AD_NC_Intensity_Skewness,396.48546571662604
DTI_AD_NC_Histogram_Bins-16_Bins-16_Mode,373.0223974519098
DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-7_Probability,364.32052805954635
DTI_AD_NC_GLCM_Bins-16_Radius-1_Homogeneity,362.12870941509607
DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-3_Probability,353.4355914496689
DTI_AD_NC_GLCM_Bins-16_Radius-1_Contrast,346.8268470494278
DTI_AD_NC_Intensity_Mode,339.7990272024876
DTI_AD_NC_Intensity_Range,325.55813560775357
DTI_AD_NC_NGTDM_Contrast,323.3740816885228
DTI_AD_NC_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,321.400341419386
DTI_AD_NC_Intensity_Kurtosis,319.8253071900652
DTI_AD_NC_GLCM_Bins-16_Radius-1_Correlation,316.99301644075126
DTI_AD_NC_GLSZM_Bins-16_Radius-1_ZoneSizeMean,310.1732305986574
DTI_AD_NC_Morphologic_EllipseDiameter_Axis-0,309.0437310873901
DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-8_Probability,308.62707093106275
DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-2_Probability,302.949061341661
