	,Selected_features
0,DTI_AD_NC_Histogram_Bins-16_Bins-16_NinetiethPercentile
1,DTI_AD_NC_Histogram_Bins-16_Bins-16_Entropy
2,DTI_AD_NC_NGTDM_Complexity
3,DTI_AD_NC_Intensity_Mean
4,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-10_Probability
5,DTI_AD_NC_Histogram_Bins-16_Bins-16_InterQuartileRange
6,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-9_Probability
7,DTI_AD_NC_GLCM_Bins-16_Radius-1_AutoCorrelation
8,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-11_Probability
9,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-4_Frequency
10,DTI_AD_NC_Histogram_Bins-16_Bins-16_Mean
11,DTI_AD_NC_Histogram_Bins-16_Bins-16_TwentyFifthPercentile
12,DTI_AD_NC_Intensity_Skewness
13,DTI_AD_NC_Histogram_Bins-16_Bins-16_Mode
14,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-7_Probability
15,DTI_AD_NC_GLCM_Bins-16_Radius-1_Homogeneity
16,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-3_Probability
17,DTI_AD_NC_GLCM_Bins-16_Radius-1_Contrast
18,DTI_AD_NC_Intensity_Mode
19,DTI_AD_NC_Intensity_Range
20,DTI_AD_NC_NGTDM_Contrast
21,DTI_AD_NC_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity
22,DTI_AD_NC_Intensity_Kurtosis
23,DTI_AD_NC_GLCM_Bins-16_Radius-1_Correlation
24,DTI_AD_NC_GLSZM_Bins-16_Radius-1_ZoneSizeMean
25,DTI_AD_NC_Morphologic_EllipseDiameter_Axis-0
26,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-8_Probability
27,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-2_Probability
28,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-12_Probability
29,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-5_Frequency
30,DTI_AD_NC_Histogram_Bins-16_Bins-16_TenthPercentile
31,DTI_AD_NC_Histogram_Bins-16_Bins-16_CoefficientOfVariation
32,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-4_Probability
33,DTI_AD_NC_GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis
34,DTI_AD_NC_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation
35,DTI_AD_NC_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis
36,DTI_AD_NC_Intensity_MedianAbsoluteDeviation
37,DTI_AD_NC_GLSZM_Bins-16_Radius-1_SmallZoneHighGreyLevelEmphasis
38,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-5_Probability
39,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-1_Probability
40,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-6_Probability
41,DTI_AD_NC_GLCM_Bins-16_Radius-1_ClusterShade
42,DTI_AD_NC_GLSZM_Bins-16_Radius-1_GreyLevelMean
43,DTI_AD_NC_GLSZM_Bins-16_Radius-1_SmallZoneLowGreyLevelEmphasis
44,DTI_AD_NC_Intensity_QuartileCoefficientOfVariation
45,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-2_Frequency
46,DTI_AD_NC_Histogram_Bins-16_Bins-16_Bin-14_Frequency
47,DTI_AD_NC_Intensity_Minimum
48,DTI_AD_NC_NGTDM_Coarsness
49,DTI_AD_NC_Intensity_TenthPercentile
